CMS ID,OSM ID,Hospital Name,Address,City,State,ZIP,Phone,Latitude,Longitude,Emergency Services,Confirmed Specialties,Actual Hospital Designation,Hospital Service Line,Advanced Capabilities,EMS Tags,Research Match Confidence,Needs Admin Review,Research Sources,Research Notes,HIFLD HIFLD_Name,HIFLD TYPE,HIFLD TRAUMA,HIFLD HELIPAD,HIFLD BEDS,HIFLD OWNER,HIFLD WEBSITE,HIFLD Match Score,HIFLD Match Distance KM,Data Sources,Stroke Designation,Burn Center Designation,Verification Source,PCI / STEMI Capability,NYNJ Verification Status,Official Trauma Verification,Official Stroke Verification,Official PCI Verification,Official Burn Verification
02013F,,673rd Medical Group (Joint Base Elmendorf-Richardson),,,AK,,,61.2515,-149.813,Yes,Trauma | Cardiac,,,,ED,UNMATCHED,Yes,,No high-confidence HIFLD match in this first pass; needs manual review for designation/service line/capability research.,,,,,,,,,,,,,,,,,,,
020026,,ALASKA NATIVE MEDICAL CENTER,,,AK,,,61.206,-149.81,Yes,Trauma | Cardiac,Level II Trauma Center; Acute Care Hospital,General Acute Care,Trauma capability,TRAUMA_1 | ACUTE_CARE | ED,MEDIUM,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",ALASKA NATIVE MEDICAL CENTER - ANMC,GENERAL ACUTE CARE,LEVEL II,N,148.0,NON-PROFIT,www.anmc.org,89.36170212765957,2.615243217675533,,,,,,,,,,
024002,,ALASKA PSYCHIATRIC INSTITUTE,,,AK,,,,,No,,Psychiatric Hospital,Psychiatric,,PSYCH_HOSP,HIGH,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",ALASKA PSYCHIATRIC INSTITUTE,PSYCHIATRIC,NOT AVAILABLE,N,80.0,GOVERNMENT - STATE,http://dhss.alaska.gov/dbh/pages/api/default.aspx,100.0,,,,,,,,,,,
020017,,ALASKA REGIONAL HOSPITAL,,,AK,,,61.206,-149.81,Yes,Trauma | Cardiac,Acute Care Hospital,General Acute Care,Helipad,HELIPAD | ACUTE_CARE | ED,HIGH,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",ALASKA REGIONAL HOSPITAL,GENERAL ACUTE CARE,NOT AVAILABLE,Y,132.0,PROPRIETARY,http://www.alaskaregional.com/,100.0,1.145329144550007,,,,,,,,,,
020008,,BARTLETT REGIONAL HOSPITAL,,,AK,,,58.3628,-134.529,Yes,Trauma | Cardiac,Level IV Trauma Center; Critical Access Hospital,Critical Access,Trauma capability; Helipad,TRAUMA_1 | HELIPAD | CAH | ED,HIGH,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",BARTLETT REGIONAL HOSPITAL,CRITICAL ACCESS,LEVEL IV,Y,73.0,GOVERNMENT - FEDERAL,http://www.bartletthospital.org,100.0,5.285855133345888,,,,,,,,,,
021309,,BRISTOL BAY DBA KANAKANAK HOSPITAL,,,AK,,,59.0402,-158.523,Yes,Trauma | Cardiac,,,,ED,UNMATCHED,Yes,,No high-confidence HIFLD match in this first pass; needs manual review for designation/service line/capability research.,,,,,,,,,,,,,,,,,,,
02014F,,Bassett ACH (FT Wainwright),,,AK,,,64.8283,-147.656,Yes,Trauma | Cardiac,,,,ED,UNMATCHED,Yes,,No high-confidence HIFLD match in this first pass; needs manual review for designation/service line/capability research.,,,,,,,,,,,,,,,,,,,
020024,,CENTRAL PENINSULA GENERAL HOSPITAL,,,AK,,,60.4818,-151.136,Yes,Trauma | Cardiac,Level II Trauma Center; Acute Care Hospital,General Acute Care,Trauma capability; Helipad,TRAUMA_1 | HELIPAD | ACUTE_CARE | ED,HIGH,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",CENTRAL PENINSULA GENERAL HOSPITAL,GENERAL ACUTE CARE,LEVEL II,Y,108.0,NON-PROFIT,www.cpgh.org,100.0,3.428104567890546,,,,,,,,,,
021307,,CORDOVA COMMUNITY MEDICAL CENTER,,,AK,,,60.5362,-145.753,Yes,Trauma | Cardiac,Critical Access Hospital,Critical Access,Helipad,HELIPAD | CAH | ED,HIGH,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",CORDOVA COMMUNITY MEDICAL CENTER,CRITICAL ACCESS,NOT AVAILABLE,Y,23.0,GOVERNMENT - LOCAL,http://cdvcmc.com/,100.0,0.57658202190686,,,,,,,,,,
020012,,FAIRBANKS MEMORIAL HOSPITAL,,,AK,,,64.644,-147.522,Yes,Trauma | Cardiac,Level IV Trauma Center; Acute Care Hospital,General Acute Care,Trauma capability; Helipad,TRAUMA_1 | HELIPAD | ACUTE_CARE | ED,LOW,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",FAIRBANKS MEMORIAL HOSPITAL,GENERAL ACUTE CARE,LEVEL IV,Y,217.0,NON-PROFIT,http://www.bannerhealth.com/locations/alaska/fairbanks+memorial=+hospital/_fmh_dc_home.htm,100.0,23.28600211109238,,,,,,,,,,
021310,way/542337984,MANIILAQ HEALTH CENTER,,,AK,,,66.8653,-161.781,Yes,Trauma | Cardiac,,,,ED,UNMATCHED,Yes,,No high-confidence HIFLD match in this first pass; needs manual review for designation/service line/capability research.,,,,,,,,,,,,,,,,,,,
020006,,MAT-SU REGIONAL MEDICAL CENTER,,,AK,,,61.6303,-148.987,Yes,Trauma | Cardiac,Level IV Trauma Center; Acute Care Hospital,General Acute Care,Trauma capability; Helipad,TRAUMA_1 | HELIPAD | ACUTE_CARE | ED,MEDIUM,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",MAT-SU REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,LEVEL IV,Y,74.0,PROPRIETARY,http://www.matsuregional.com/index_flash.php,100.0,16.1898883147387,,,,,,,,,,
024001,,NORTH STAR HOSPITAL,,,AK,,,,,Yes,,,,,ED,UNMATCHED,Yes,,No high-confidence HIFLD match in this first pass; needs manual review for designation/service line/capability research.,,,,,,,,,,,,,,,,,,,
021308,,NORTON SOUND REGIONAL HOSPITAL,,,AK,,,64.8393,-164.436,Yes,Trauma | Cardiac,Level IV Trauma Center; Critical Access Hospital,Critical Access,Trauma capability,TRAUMA_1 | CAH | ED,LOW,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",NORTON SOUND REGIONAL HOSPITAL,CRITICAL ACCESS,LEVEL IV,N,36.0,NON-PROFIT,www.nortonsoundhealth.org/,100.0,58.65027198025046,,,,,,,,,,
021311,,PEACEHEALTH KETCHIKAN MEDICAL CENTER,,,AK,,,,,Yes,Trauma | Cardiac,Level IV Trauma Center; Critical Access Hospital,Critical Access,Trauma capability,TRAUMA_1 | CAH | ED,HIGH,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",PEACEHEALTH KETCHIKAN MEDICAL CENTER,CRITICAL ACCESS,LEVEL IV,N,54.0,NON-PROFIT,www.peacehealth.org,100.0,,,,,,,,,,,
021304,,PETERSBURG MEDICAL CENTER,,,AK,,,56.8271,-133.161,Yes,Trauma | Cardiac,Level IV Trauma Center; Acute Care Hospital,General Acute Care,Trauma capability,TRAUMA_1 | ACUTE_CARE | ED,MEDIUM,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",PETERSBURG MEDICAL CENTER,GENERAL ACUTE CARE,LEVEL IV,N,27.0,GOVERNMENT - LOCAL,http://www.pmc-health.com/,100.0,12.62276402584955,,,,,,,,,,
020001,,PROVIDENCE ALASKA MEDICAL CENTER,,,AK,,,61.206,-149.81,Yes,Trauma | Cardiac,Level II Trauma Center; Acute Care Hospital,General Acute Care,Trauma capability; Helipad,TRAUMA_1 | HELIPAD | ACUTE_CARE | ED,HIGH,Yes,https://github.com/rearc-data/hospitals-hifld ; https://hifld-geoplatform.opendata.arcgis.com/datasets/hospitals,"First-pass enrichment from HIFLD hospital resource fields (TYPE, TRAUMA, HELIPAD, BEDS); verify trauma/stroke/burn/PCI directly before operational use.",PROVIDENCE ALASKA MEDICAL CENTER,GENERAL ACUTE CARE,LEVEL II,Y,371.0,NON-PROFIT,www.providence.org/alaska/default.htm,100.0,1.989548827804143,,,,,,,,,,
