CMS ID,OSM ID,Hospital Name,Address,City,State,ZIP,Phone,Latitude,Longitude,Emergency Services,Confirmed Specialties,Needs Admin Review,Data Sources
02013F,,673rd Medical Group (Joint Base Elmendorf-Richardson),,,AK,,,61.251500,-149.813000,Yes,Trauma | Cardiac,,
020026,,ALASKA NATIVE MEDICAL CENTER,,,AK,,,61.206000,-149.810000,Yes,Trauma | Cardiac,,
024002,,ALASKA PSYCHIATRIC INSTITUTE,,,AK,,,,,No,,,
020017,,ALASKA REGIONAL HOSPITAL,,,AK,,,61.206000,-149.810000,Yes,Trauma | Cardiac,,
020008,,BARTLETT REGIONAL HOSPITAL,,,AK,,,58.362800,-134.529000,Yes,Trauma | Cardiac,,
021309,,BRISTOL BAY DBA KANAKANAK HOSPITAL,,,AK,,,59.040200,-158.523000,Yes,Trauma | Cardiac,,
02014F,,Bassett ACH (FT Wainwright),,,AK,,,64.828300,-147.656000,Yes,Trauma | Cardiac,,
020024,,CENTRAL PENINSULA GENERAL HOSPITAL,,,AK,,,60.481800,-151.136000,Yes,Trauma | Cardiac,,
021307,,CORDOVA COMMUNITY MEDICAL CENTER,,,AK,,,60.536200,-145.753000,Yes,Trauma | Cardiac,,
020012,,FAIRBANKS MEMORIAL HOSPITAL,,,AK,,,64.644000,-147.522000,Yes,Trauma | Cardiac,,
021310,way/542337984,MANIILAQ HEALTH CENTER,,,AK,,,66.865300,-161.781000,Yes,Trauma | Cardiac,,
020006,,MAT-SU REGIONAL MEDICAL CENTER,,,AK,,,61.630300,-148.987000,Yes,Trauma | Cardiac,,
024001,,NORTH STAR HOSPITAL,,,AK,,,,,Yes,,,
021308,,NORTON SOUND REGIONAL HOSPITAL,,,AK,,,64.839300,-164.436000,Yes,Trauma | Cardiac,,
021311,,PEACEHEALTH KETCHIKAN MEDICAL CENTER,,,AK,,,,,Yes,Trauma | Cardiac,,
021304,,PETERSBURG MEDICAL CENTER,,,AK,,,56.827100,-133.161000,Yes,Trauma | Cardiac,,
020001,,PROVIDENCE ALASKA MEDICAL CENTER,,,AK,,,61.206000,-149.810000,Yes,Trauma | Cardiac,,
021306,,PROVIDENCE KODIAK ISLAND MEDICAL CTR,,,AK,,,57.603600,-153.375000,Yes,Trauma | Cardiac,,
021302,,PROVIDENCE SEWARD HOSPITAL,,,AK,,,60.132900,-149.398000,Yes,Trauma | Cardiac,,
021301,,PROVIDENCE VALDEZ MEDICAL CENTER,,,AK,,,61.101000,-146.900000,Yes,Trauma | Cardiac,,
021312,,SAMUEL SIMMONDS MEMORIAL HOSPITAL,,,AK,,,,,Yes,Trauma | Cardiac,,
021305,,SEARHC WRANGELL MEDICAL CENTER & LTC,,,AK,,,56.433500,-132.353000,Yes,Trauma | Cardiac,,
021313,,SOUTH PENINSULA HOSPITAL,,,AK,,,,,Yes,Trauma | Cardiac,,
021314,,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,,,AK,,,,,Yes,Trauma | Cardiac,,
020018,,YUKON KUSKOKWIM DELTA REG HOSPITAL,,,AK,,,60.130000,-162.174000,Yes,Trauma | Cardiac,,
010036,,ANDALUSIA HEALTH,,,AL,,,31.297100,-86.490500,Yes,Trauma | Cardiac,,
010079,,ATHENS LIMESTONE HOSPITAL,,,AL,,,34.803600,-86.970700,Yes,Trauma | Cardiac,,
010169,way/478937647,ATMORE COMMUNITY HOSPITAL,,,AL,,,31.057200,-87.487300,Yes,Trauma | Cardiac,,
010083,,BALDWIN HEALTH,,,AL,,,30.400700,-87.685700,Yes,Trauma | Cardiac,,
010149,,BAPTIST MEDICAL CENTER EAST,,,AL,,,32.373600,-86.183300,Yes,Trauma | Cardiac,,
010023,way/583336119,BAPTIST MEDICAL CENTER SOUTH,,,AL,,,32.312900,-86.242100,Yes,Trauma | Cardiac,,
014014,,BAYPOINTE BEHAVIORAL HEALTH,,,AL,,,30.631100,-88.158800,Yes,,,
014015,,BEACON CHILDREN'S HOSPITAL,,,AL,,,31.707400,-86.256600,No,,,
010058,way/475490376,BIBB MEDICAL CENTER,,,AL,,,32.950300,-87.119200,Yes,Trauma | Cardiac,,
01014F,relation/13354041,BIRMINGHAM VA MEDICAL CENTER,,,AL,,,33.506200,-86.800300,Yes,Trauma | Cardiac,,
010139,,BROOKWOOD BAPTIST MEDICAL CENTER,,,AL,,,33.418800,-86.786700,Yes,Trauma | Cardiac,,
014007,,BRYCE HOSPITAL,,,AL,,,33.182600,-87.482700,No,,,
010110,way/581726626,BULLOCK COUNTY HOSPITAL,,,AL,,,32.166300,-85.678700,Yes,Trauma | Cardiac,,
010779,way/588256176,BULLOCK COUNTY HOSPITAL,,,AL,,,32.166300,-85.678700,Yes,,,
010018,,CALLAHAN EYE HOSPITAL,,,AL,,,33.506200,-86.800300,Yes,Trauma | Cardiac,,
010101,way/581726013,CITIZENS BAPTIST MEDICAL CENTER,,,AL,,,33.435400,-86.113400,Yes,Trauma | Cardiac,,
010073,way/444596578,CLAY COUNTY HOSPITAL,,,AL,,,33.247400,-85.829000,Yes,Trauma | Cardiac,,
010034,way/363464817,COMMUNITY HOSPITAL INC,,,AL,,,32.551000,-85.897800,Yes,Trauma | Cardiac,,
010164,,COOSA VALLEY MEDICAL CENTER,,,AL,,,33.171700,-86.271300,Yes,Trauma | Cardiac,,
